,All Media Group,,,,,,,,,,,,,,,,,,,,,,,,
,Amy Lew (C.F.O / VP of Operations),,,,,,,,,,,,,,,,,,,,,,,,
,18819 Topham St,,,,,,,,,,,,,,,,,,,,,,,,
,"Tarzana, CA 91335",,,,,,,,,,,,,,,,,,,,,,,,
T,(818) 938-9026,,,,,,,,,,,,,,,,,,,,,,,,
F,(818) 855-1065,,,,,,,,,,,,,,,,,,,,,,,,
E,Gab@allmediagroup.tv,,,,,,,,,,,,,,,,,,,,,,,,
E,Amy@allmediagroup.tv,,,,,,,,,,,,,,,,,,,,,,,,
E,Nancy@allmediagroup.tv,,,,,,,,,,,,,,,,,,,,,,,,
W,http://allmediagroup.tv/,,,,,,,,,,,,,,,,,,,,,,,,
,,,,35% Royalty to AMG,,,$430.63,,,,,,,,,,,,,,,,,,
,07/01 ~ 07/31/2025,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor Name : 2_AMG – Dane Jones,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Download Items,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,Item #,Title,Studio,Qty,Unit Price,Discount,Total,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,DLLEB-07252_s5,Sapphist Sweethearts ~Scene 5,Lesbea,1,$3.83 ,$0.00 ,$3.83 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,$3.83 ,$0.00 ,$3.83 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Streaming Items,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,Item #,Title,Studio,Qty,Unit Price,Discount,Total,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor Name : 2_AMG - DDF,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Download Items,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,Item #,Title,Studio,Qty,Unit Price,Discount,Total,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,DLDDFH-0310238_s2,French Nymphos Of Porn ~ Scene 2,DDF Hardcore,1,$4.50 ,$0.00 ,$4.50 ,,,,,,,,,,,,,,,,,,
2,DLDDFH-0310238_s3,French Nymphos Of Porn ~ Scene 3,DDF Hardcore,1,$4.50 ,$0.00 ,$4.50 ,,,,,,,,,,,,,,,,,,
3,DLDDFH-0612231_s2,The Foxes Of Foot Fetish ~ Scene 2,DDF Hardcore,1,$4.50 ,$0.00 ,$4.50 ,,,,,,,,,,,,,,,,,,
4,DLDDFH-0612231_s5,The Foxes Of Foot Fetish ~ Scene 5,DDF Hardcore,1,$4.50 ,$0.00 ,$4.50 ,,,,,,,,,,,,,,,,,,
5,DLDDFH-0519236_s4,Sexy Young Lesbos Lick Me Deep ~ Scene 4,DDF Hardcore,1,$5.00 ,$0.00 ,$5.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,$23.00 ,$0.00 ,$23.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Streaming Items,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,Item #,Title,Studio,Qty,Unit Price,Discount,Total,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor Name : 2_AMG - DTF Sluts,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Download Items,,,,,,,,,,,,,,,,,,,,,,,,,
